date,pred_cases_mean,pred_cases_q10,pred_cases_q90,ess
2022-03-16,25531.14570275369,25526.129810642047,25536.700270254747,299.99999999999994
2022-03-17,25327.051551484754,25322.05364530598,25332.149632061817,299.99999999999994
2022-03-18,25128.906269847255,25124.021816397017,25134.09157281832,299.99999999999994
2022-03-19,24936.64687259207,24931.806474206016,24941.765505538613,299.99999999999994
2022-03-20,24750.285714880567,24745.406982925688,24755.376220990962,299.80720293047324
2022-03-21,24569.42513228573,24564.788439557982,24574.483615920926,299.99999999999994
2022-03-22,24394.126520715592,24389.522491507683,24398.963256594496,299.99999999999994
2022-03-23,24224.309226994646,24219.715455377423,24229.26452085794,299.99999999999994
2022-03-24,24059.87852877972,24055.391268192863,24064.935821802886,299.99999999999994
2022-03-25,23900.638754141506,23896.271360188708,23905.386522135475,299.99999999999994
2022-03-26,23746.680100836144,23742.167529120296,23751.262848617484,299.99999999999994
2022-03-27,23597.734748706003,23593.431495693447,23602.366809138533,299.99999999999994
2022-03-28,23453.848065311773,23449.40821555312,23458.124327455138,299.8577905230557
2022-03-29,23314.707953946177,23310.28876195685,23319.125428333144,299.99999999999994
2022-03-30,23180.514582632866,23176.192635209827,23184.692741771683,299.99999999999994
2022-03-31,23051.09237930022,23046.861176496717,23055.35661869094,299.99999999999994
2022-04-01,22926.3333104697,22922.007787672857,22930.574266904638,299.99999999999994
2022-04-02,22806.126384377516,22801.618833575758,22810.26243639844,299.99999999999994
2022-04-03,22690.513431449934,22686.32742078751,22694.598618875232,299.99999999999994
2022-04-04,22579.378407627068,22575.268357147634,22583.299616940236,299.99999999999994
2022-04-05,22472.66403617338,22468.552865394904,22476.723987718677,299.99999999999994
2022-04-06,22370.234231759037,22365.872034691358,22374.45824869729,299.99999999999994
2022-04-07,22272.154902282116,22267.592143445687,22276.375111064077,299.93144746201943
2022-04-08,22178.196706298637,22173.57999626738,22182.31079958583,299.99999999999994
2022-04-09,22088.36142961747,22083.748755359215,22092.450431865214,299.99999999999994
2022-04-10,22002.652613622897,21997.94679605877,22006.735718787255,299.99999999999994
2022-04-11,21920.985295117596,21916.388713786906,21925.05437381427,299.99999999999994
2022-04-12,21843.37084705322,21838.774320733202,21847.558566607026,299.99999999999994
2022-04-13,21769.685911639554,21765.04828981102,21773.604116058807,299.99999999999994
2022-04-14,21699.844865292584,21695.217439792126,21703.966019625168,299.99999999999994
