date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-07-18,COVID-19,Germany,DE,Germany,reported_cases,201372,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-19,COVID-19,Germany,DE,Germany,reported_cases,201574,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-20,COVID-19,Germany,DE,Germany,reported_cases,201823,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-21,COVID-19,Germany,DE,Germany,reported_cases,202345,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-22,COVID-19,Germany,DE,Germany,reported_cases,202799,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-23,COVID-19,Germany,DE,Germany,reported_cases,203368,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-24,COVID-19,Germany,DE,Germany,reported_cases,204183,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-25,COVID-19,Germany,DE,Germany,reported_cases,204964,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-26,COVID-19,Germany,DE,Germany,reported_cases,205269,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-27,COVID-19,Germany,DE,Germany,reported_cases,205609,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-28,COVID-19,Germany,DE,Germany,reported_cases,206242,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-29,COVID-19,Germany,DE,Germany,reported_cases,206926,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-30,COVID-19,Germany,DE,Germany,reported_cases,207828,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-31,COVID-19,Germany,DE,Germany,reported_cases,208698,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-01,COVID-19,Germany,DE,Germany,reported_cases,209653,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-02,COVID-19,Germany,DE,Germany,reported_cases,209893,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-03,COVID-19,Germany,DE,Germany,reported_cases,210402,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-04,COVID-19,Germany,DE,Germany,reported_cases,211281,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-05,COVID-19,Germany,DE,Germany,reported_cases,212022,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-06,COVID-19,Germany,DE,Germany,reported_cases,213067,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-07,COVID-19,Germany,DE,Germany,reported_cases,214214,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-08,COVID-19,Germany,DE,Germany,reported_cases,215336,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-09,COVID-19,Germany,DE,Germany,reported_cases,215891,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-10,COVID-19,Germany,DE,Germany,reported_cases,216327,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-11,COVID-19,Germany,DE,Germany,reported_cases,217293,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-12,COVID-19,Germany,DE,Germany,reported_cases,218519,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-13,COVID-19,Germany,DE,Germany,reported_cases,219964,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-14,COVID-19,Germany,DE,Germany,reported_cases,221413,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-15,COVID-19,Germany,DE,Germany,reported_cases,222828,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-16,COVID-19,Germany,DE,Germany,reported_cases,223453,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-17,COVID-19,Germany,DE,Germany,reported_cases,224014,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-18,COVID-19,Germany,DE,Germany,reported_cases,225404,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-19,COVID-19,Germany,DE,Germany,reported_cases,226914,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-20,COVID-19,Germany,DE,Germany,reported_cases,228621,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-21,COVID-19,Germany,DE,Germany,reported_cases,230048,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-22,COVID-19,Germany,DE,Germany,reported_cases,232082,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-23,COVID-19,Germany,DE,Germany,reported_cases,232864,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-24,COVID-19,Germany,DE,Germany,reported_cases,233575,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
